tribe,address,user name,display name,score,attempts,isCheater
silver,0x92Ff2b9fAf90f0F40fDb907A0cDFd6B9EfC7925f,frozenturnip,frozenturnip.eth,180,60,false
yellow,0xE05149B1f3fC90B1832106233616AbF1EEd1a127,marcgmbh,marc,31,50,false
orange,0x4FAFA767C9CB71394875c139D43AeE7799748908,OKDunc,Duncan ◐🦇🔊,46,142,false
pink,0x8F9A99eEfe3A4Ba77dD3A4367a541fa5b526C42c,PelosiTracker_,Nancy Pelosi Stock Tracker ♟,46,30,false
gold,0x23eE807D75Ec35578346B132b98d6B836698E676,fededaffina,Federico,173,140,false
green,0x86D6d66371e45ea795409FDb4b6f378878390C48,Swift_Kill,Alex Ramirez,414,143,false
blue,0x894Aa5F1E45454677A8560ddE3B45Cb5C427Ef92,AnnikaSays,Annika Lewis,79,399,false
purple,0x8Df46D8Bb10D79f89E00e0a6859327f7189C45de,richiebonilla,richie is on quests 🧭,152,85,false
gold,0x20ff7e19c8Ff23109EB1661Df3b3c4f36DDAdF1F,herinkc,herin.eth 🫡,63,249,false
orange,0x9CEFB888eEda13f40E10aF987Ea8811ac44F996f,sorgente711,Mariano,248,249,false
yellow,0xe4c57c0Dd7F1C9D38079B537556DCd8009Eb6B79,joshqharris,Joshua,46,82,false
white,0x1dF428833f2C9FB1eF098754e5D710432450d706,0xJoshuaSL,"0xJoshua.eth (🦇,🔊)",143,143,false
blue,0x614A61a3b7F2fd8750AcAAD63b2a0CFe8B8524F1,reneil1337,reneil.eth 🕳🐇,177,45,false
orange,0xD21dA717eE1805325cd4f84cBEDcddf8Fc0a809c,justseels,jdougy,76,223,false
purple,0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91,bigvibessss,kurtvonnegut.eth,64,115,false
gold,0x3E66aD45676A57857B2D4c5A6752CbB415Bb6Ecb,iBrent_Upptic,Ian Brent,180,396,false
gold,0x3EAEf0fCf432cFfD12C5b8e2C328D2856fa49EF9,ethandaya,𝖟𝖊𝖙𝖍,105,239,false
purple,0x925aD5ACB7762Bd26C8A024673F0Fd32a313203c,Ricocunhalay,ricolay,179,238,false
blue,0xCFFE08BDf20918007f8Ab268C32f8756494fC8D8,gabrielhaines,Gabriel Haines.⌐◨-◨,46,161,false
yellow,0x5e0D698B5f250CE73d2969815fF4AAe1B3f51D91,GRothstein1,Garrett,131,210,false
yellow,0x7D41268e3a5A738d25fE521ac35dd437b95b6786,Rhynotic,Adam,180,55,false
orange,0xcf88FA6eE6D111b04bE9b06ef6fAD6bD6691B88c,JordanLyall,Jordan Lyall,88,335,false
