tribe,address,user name,display name,score,attempts,isCheater
pink,0x7144E83cAFFffb4C0a704cB516d947Dc3e39f8BB,offplanetgalaxy,off planet,6000,156,false
silver,0xF1Eb7EA5fcb862Fb4dBDEEe8dDF758E8C549DE6c,_yangyou,yang you,5260,277,false
yellow,0x1B151FE2757520B26fbF95DB19D20da9C37b7bCE,earemu,Emmanuel Aremu 🔴✨,1670,34,false
gold,0x230d31EEC85F4063a405B0F95bdE509C0d0A8b5D,brockjelmore,brock,0,85,true
silver,0x3E66aD45676A57857B2D4c5A6752CbB415Bb6Ecb,iBrent_Upptic,Ian Brent,4900,39,false
blue,0x3EAEf0fCf432cFfD12C5b8e2C328D2856fa49EF9,ethandaya,𝖟𝖊𝖙𝖍,2360,9,false
orange,0x41063a34b2Be6A0daaD1ddd904855E5e9d80aD7e,0x_wes,OhExWes,3870,149,false
blue,0x4124Cf34f56fa151E05c91aCE550ADa0DD5aABD7,izgnzlz,Isabel,5900,224,false
orange,0xa9cE598b9286ACECF2E495D663FaA611256910F1,derekalia,DΞRΞK,5380,34,false
silver,0xc080324F33D5a591BFB7e7D504E62D20C7EBAC48,CatchMeStacking,Shaolin Capital,5870,217,false
purple,0xcf03B0F43F7C0578366C58d5277f0512297a71bE,delitzer,Dan Elitzer,5180,60,false
yellow,0xE05149B1f3fC90B1832106233616AbF1EEd1a127,marcgmbh,marc,6620,195,false
white,0xE95330D7CDcd37bf0Ad875C29e2a2871FeFa3De8,0xshugo,shugo.eth,4520,244,false
orange,0x0f9b1b68f848Cb65F532BC12825357201726d3d2,iamnickdoteth,iamnick.eth,2080,1,false
orange,0x32fa013aF811a4CF97E460dF741DbA2485831537,jasoncliao,"Jliao (🦉, 🎈)",4190,18,false
silver,0x46EA64F25e9bcE988328e04C69484Dd54ceBD890,magsawww,magsawww,8520,78,false
pink,0x4cf41C1E5e2A8403E08e7d3883791fCe6f6497d3,stephanminkj,Stephan Min,3720,37,false
red,0xA1E01696CF4F62ed4FaDB9c17D8D41E262948e24,nudaoliu,nu,2590,23,false
orange,0xdCDb88F3754B2841093D9348A2D02DF8cf06314C,tandavas,tandavas.eth 🫡,8490,222,false
silver,0xe4c57c0Dd7F1C9D38079B537556DCd8009Eb6B79,joshqharris,Joshua,6120,60,false
white,0x0D7A2FFd780B17C3f21Af98FdAfD9F543eD846a7,brad_or_bradley,bradorbradley^,3940,23,false
blue,0x28B4DE9c45AF6cb1A5a46c19909108f2BB74a2BE,katiewav,katie,1970,24,false
purple,0x44c2A80F8b924858DB469A5b35128908E55C531F,Kevvvbot,Kevbot,8320,50,false
green,0x7581F542Bc78eFC68E5C3c449CbE7753bE0163c7,Mr_Bahama_,Mr. Bahama,3590,72,false
orange,0xAd81e01B66D69f45d557D93bC746BFC3Db85bCaE,dcentgeo,"Geo (🪬,🪬)",3920,21,false
yellow,0xB15D23C1380B60eCaDB569403338B89B99213EE6,NoahNewfield,Newf.eth,6060,71,false
yellow,0x01503DC708ce3C55017194847A07aCb679D49f47,RattyMouseman,Patttttiiiiii,4300,127,false
silver,0x3781515c673c9776f923dA06d367ef3DDF26c430,0xthanos,Thanos,4660,40,false
white,0x830Eb79e2fd1c45b5b234767478cA101a4d00575,wiche232323,Wiche,,,
silver,0xE2388f22cf5e328C197D6530663809cc0408a510,joeysantoro_eth,Joey Santoro 💚🦇🔊,5690,86,false
yellow,0xFC18E4E5fa6A137F85F70D2F8F2Eb18Bf5Ec3Fe2,devansh_san,Devansh Sanghavi,3500,128,false
orange,0x32439F6dc6f8A52ebf7a766201B4db9d4fceee0a,it_me_kat,❀ kat ❀,5180,22,false
blue,0x9544A9249D8FC6B28FaF211f5E616aaF8Ac13E62,0xAlcibiades,Alcibiades,,,
orange,0xa776a67b8d0D5D61d219C6FdFC90680Db9EBc331,knowerofmarkets,knower,2990,7,false
gold,0x03ccc5Bf751AFDAecEdc33E1bcd5377aB7CfE58E,DegensQueen,QueenOfDegens.eth,4440,122,false
